"","country","househld","rsex","rage","marstat6","childhh","married","readpap","whpaper","webnews","wnwsite1","supparty","closepty","partyidn","partyid1","politics","soctrust","ecpolicy","govtrust","mpstrust","conlabdf","spend1","dole","taxspend","incomgap","ub1poor","ccbeliev","letin","miecono","micultur","reasmig","asastay","friendob","raceori3","religion","hedqual","rearnd","welffeet","forgrel1","forgrel2","forgrel4","forgrel5","mnntpowr","unionsa","reconact","natbrit","nateng","nateuro","natscot","natwelsh","natni","natasia","natafric"
"1","England",5,"Male",NA,"Married","Yes","Married/living as married","Yes","The Sun/ Scottish Sun","Several times a day","Other - UK site (PLEASE WRITE IN)","No","Yes","Labour","Labour","some,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","some difference,","Health","(Neither)","Increase taxes and spend more on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","5 - Neither","6",NA,"Agree","No, none at all","WHITE: of any origin","No religion","O level or equiv","£1,301 - 1,600 p.m.","Disagree","Agree","Neither agree nor disagree","Disagree","Agree","Neither agree nor disagree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"2","Scotland",1,"Male",NA,"Married","No","Married/living as married","Yes","Other Irish/Northern Irish/Scottish/Welsh, regional or local daily morning paper","Never",NA,"Yes",NA,"Conservative","Conservative","quite a lot,","Can t be too careful in dealing with people",NA,"Most of the time","Most of the time","some difference,","Education","(Neither)","Keep taxes and spending on these services at same level","about right,","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","6","4",NA,"Neither agree nor disagree","Yes, a few","WHITE: of any origin","Presbyterian/Church of Scotland","O level or equiv",NA,"Agree","Neither agree nor disagree","Disagree","Agree","Disagree","Agree","No","(Doing something else) (WRITE IN)","Mentioned",NA,NA,"Mentioned",NA,NA,NA,NA
"3","England",5,"Female",NA,"Married","Yes","Married/living as married","No",NA,"Several times a week","BBC News","No","Yes","Labour","Labour","or, none at all?","Can t be too careful in dealing with people",NA,"Almost never","Almost never","or, not much difference?","Health","too low and cause hardship","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined","Refugees claiming asylum in Britain","Disagree strongly","No, none at all","WHITE: of any origin","Church of England/Anglican","CSE or equiv","£431 - 780 p.m.","Agree strongly","Agree strongly","Agree strongly","Agree","Agree strongly","Agree strongly","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"4","Wales",1,"Female",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","No",NA,"Less often than once a month","Other - UK site (PLEASE WRITE IN)","No","No","None","None","or, none at all?","Most people can be trusted",NA,"Only some of the time","Only some of the time",NA,"Health","Other answer (WRITE IN)","(None)","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","4","4",NA,"Agree","No, none at all","WHITE: of any origin","No religion","O level or equiv","£431 - 780 p.m.","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"5","England",3,"Female",NA,"Married","No","Married/living as married","No",NA,"Every day","The Sun/Sun on Sunday","No","Yes","Liberal Democrat","Liberal Democrat","quite a lot,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","... has more than enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","1","1",NA,"Agree","Yes, several","WHITE: of any origin","No religion",NA,"Less than £430 p.m.","Agree strongly","Agree","Agree strongly","Agree","Agree strongly","Agree strongly","No","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"6","Wales",7,"Female",NA,"Living with a partner","Yes","Married/living as married","Yes","Daily Mirror/ Scottish Mirror","Never",NA,"No","No","None","None","or, none at all?","Most people can be trusted","to leave the European Union,","Almost never","Almost never","or, not much difference?","Health","too high and discourage work","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","3","2",NA,"Disagree","No, none at all","WHITE: of any origin","No religion","No qualification",NA,"Disagree strongly","Agree strongly","Agree strongly","Agree strongly","Agree strongly","Agree","No","Looking after the home",NA,NA,NA,NA,"Mentioned",NA,NA,NA
"7","England",4,"Male",NA,"Married","Yes","Married/living as married","No",NA,"Every day","Other - General (PLEASE WRITE IN)","No","Yes","Labour","Labour","or, none at all?","Can t be too careful in dealing with people","or, to work for the formation of a single European government?","Only some of the time","Only some of the time","... there is a great difference between them,","Education","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","6","3",NA,"Agree","No, none at all","WHITE: of any origin","No religion","Degree","£1,801 - 2,200 p.m.","Neither agree nor disagree","Agree","Agree","Agree","Agree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"8","England",2,"Male",NA,"Married","No","Married/living as married","No",NA,"Several times a day","BBC News","Yes",NA,"UK Independence Party (UKIP)/Veritas","UK Independence Party (UKIP)/Veritas","quite a lot,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","some difference,","Education","too high and discourage work","Reduce taxes and spend less on health, education etc","too large","is hard up,","I believe that climate change is taking place but not as a result of human actions","Reduced a little","6","7","Coming to work in Britain from countries inside the European Union","Agree strongly","Yes, several","WHITE: of any origin","Roman Catholic","Degree","£3,601 or more p.m.","Disagree","Disagree","Disagree","Agree","Disagree strongly","Agree strongly","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"9","Wales",1,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Every day","BBC News","No","No",NA,NA,"some,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","or, not much difference?","Health","too high and discourage work","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","7","5 - Neither","Coming to study in British universities","Agree","Yes, several","WHITE: of any origin","No religion","O level or equiv","£1,301 - 1,600 p.m.","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"10","England",3,"Female",NA,"Single (never married/never in a civil partnership)","Yes","Never married","No",NA,"Every day","Sky News","No","No","Labour","Labour","or, none at all?","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","0 - Extremely bad for economy","2",NA,"Disagree strongly","Yes, one","WHITE: of any origin","No religion","A level or equiv","Less than £430 p.m.","Agree strongly","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
